,name,number of cells,centroid csv
0,3-15-700x-2-02.tif,405,cells_centroid3-15-700x-2-02.csv
1,5-20-700x-2-03.tif,238,cells_centroid5-20-700x-2-03.csv
2,6-19-400x-1-03.tif,364,cells_centroid6-19-400x-1-03.csv
3,7-01-700x-2-03.tif,173,cells_centroid7-01-700x-2-03.csv
4,7-01-700x-2-02.tif,161,cells_centroid7-01-700x-2-02.csv
5,6-19-400x-1-02.tif,331,cells_centroid6-19-400x-1-02.csv
6,5-20-700x-2-02.tif,244,cells_centroid5-20-700x-2-02.csv
7,3-15-700x-2-03.tif,429,cells_centroid3-15-700x-2-03.csv
8,8-06-700x-2-01.tif,159,cells_centroid8-06-700x-2-01.csv
9,5-22-400x-1-03.tif,263,cells_centroid5-22-400x-1-03.csv
10,5-22-400x-1-01.tif,256,cells_centroid5-22-400x-1-01.csv
11,8-06-700x-2-03.tif,177,cells_centroid8-06-700x-2-03.csv
12,3-15-700x-2-01.tif,412,cells_centroid3-15-700x-2-01.csv
13,3-07-400x-1-04.tif,506,cells_centroid3-07-400x-1-04.csv
14,7-01-700x-2-01.tif,166,cells_centroid7-01-700x-2-01.csv
15,6-19-400x-1-01.tif,372,cells_centroid6-19-400x-1-01.csv
16,5-20-700x-2-01.tif,232,cells_centroid5-20-700x-2-01.csv
17,8-06-700x-2-02.tif,157,cells_centroid8-06-700x-2-02.csv
18,3-15-700x-2-04.tif,425,cells_centroid3-15-700x-2-04.csv
19,3-07-400x-1-01.tif,493,cells_centroid3-07-400x-1-01.csv
20,7-01-700x-2-05.tif,174,cells_centroid7-01-700x-2-05.csv
21,7-01-700x-2-04.tif,158,cells_centroid7-01-700x-2-04.csv
22,6-19-400x-1-04.tif,287,cells_centroid6-19-400x-1-04.csv
23,3-15-700x-2-05.tif,444,cells_centroid3-15-700x-2-05.csv
24,5-20-700x-2-04.tif,229,cells_centroid5-20-700x-2-04.csv
25,5-22-400x-1-05.tif,259,cells_centroid5-22-400x-1-05.csv
26,5-20-700x-2-06.tif,194,cells_centroid5-20-700x-2-06.csv
27,3-07-400x-1-02.tif,483,cells_centroid3-07-400x-1-02.csv
28,3-07-400x-1-03.tif,480,cells_centroid3-07-400x-1-03.csv
29,8-06-700x-2-04.tif,174,cells_centroid8-06-700x-2-04.csv
30,6-21-400x-2-03.tif,167,cells_centroid6-21-400x-2-03.csv
31,4-02-700x-1-02.tif,170,cells_centroid4-02-700x-1-02.csv
32,7-24-400x-1-03.tif,132,cells_centroid7-24-400x-1-03.csv
33,7-15-400x-2-02.tif,142,cells_centroid7-15-400x-2-02.csv
34,4-17-400x-2-03.tif,101,cells_centroid4-17-400x-2-03.csv
35,4-17-400x-2-02.tif,101,cells_centroid4-17-400x-2-02.csv
36,7-15-400x-2-03.tif,140,cells_centroid7-15-400x-2-03.csv
37,7-24-400x-1-02.tif,120,cells_centroid7-24-400x-1-02.csv
38,4-02-700x-1-03.tif,178,cells_centroid4-02-700x-1-03.csv
39,6-21-400x-2-02.tif,205,cells_centroid6-21-400x-2-02.csv
40,4-02-700x-1-01.tif,158,cells_centroid4-02-700x-1-01.csv
41,7-15-400x-2-01.tif,146,cells_centroid7-15-400x-2-01.csv
42,4-01-700x-1-04.tif,384,cells_centroid4-01-700x-1-04.csv
43,4-17-400x-2-01.tif,98,cells_centroid4-17-400x-2-01.csv
44,7-24-400x-1-01.tif,124,cells_centroid7-24-400x-1-01.csv
45,6-21-400x-2-01.tif,251,cells_centroid6-21-400x-2-01.csv
46,7-15-400x-2-04.tif,139,cells_centroid7-15-400x-2-04.csv
47,7-24-400x-1-05.tif,123,cells_centroid7-24-400x-1-05.csv
48,4-02-700x-1-04.tif,155,cells_centroid4-02-700x-1-04.csv
49,4-01-700x-1-01.tif,362,cells_centroid4-01-700x-1-01.csv
50,4-02-700x-1-05.tif,177,cells_centroid4-02-700x-1-05.csv
51,7-24-400x-1-04.tif,141,cells_centroid7-24-400x-1-04.csv
52,7-15-400x-2-05.tif,137,cells_centroid7-15-400x-2-05.csv
53,6-21-400x-2-04.tif,174,cells_centroid6-21-400x-2-04.csv
54,4-01-700x-1-02.tif,391,cells_centroid4-01-700x-1-02.csv
55,4-01-700x-1-03.tif,409,cells_centroid4-01-700x-1-03.csv
56,3-15-700x-1-05.tif,241,cells_centroid3-15-700x-1-05.csv
57,5-22-400x-2-05.tif,343,cells_centroid5-22-400x-2-05.csv
58,7-01-700x-1-04.tif,103,cells_centroid7-01-700x-1-04.csv
59,4-15-400x-2-01.tif,179,cells_centroid4-15-400x-2-01.csv
60,3-07-400x-2-01.tif,500,cells_centroid3-07-400x-2-01.csv
61,7-01-700x-1-05.tif,113,cells_centroid7-01-700x-1-05.csv
62,5-22-400x-2-04.tif,277,cells_centroid5-22-400x-2-04.csv
63,3-15-700x-1-04.tif,252,cells_centroid3-15-700x-1-04.csv
64,3-07-400x-2-03.tif,517,cells_centroid3-07-400x-2-03.csv
65,4-15-400x-2-02.tif,196,cells_centroid4-15-400x-2-02.csv
66,4-15-400x-2-03.tif,151,cells_centroid4-15-400x-2-03.csv
67,3-07-400x-2-02.tif,470,cells_centroid3-07-400x-2-02.csv
68,3-15-700x-1-03.tif,255,cells_centroid3-15-700x-1-03.csv
69,5-22-400x-2-03.tif,365,cells_centroid5-22-400x-2-03.csv
70,7-01-700x-1-02.tif,104,cells_centroid7-01-700x-1-02.csv
71,7-01-700x-1-03.tif,117,cells_centroid7-01-700x-1-03.csv
72,5-22-400x-2-02.tif,351,cells_centroid5-22-400x-2-02.csv
73,3-15-700x-1-02.tif,273,cells_centroid3-15-700x-1-02.csv
74,7-01-700x-1-01.tif,121,cells_centroid7-01-700x-1-01.csv
75,4-15-400x-2-04.tif,188,cells_centroid4-15-400x-2-04.csv
76,3-07-400x-2-04.tif,541,cells_centroid3-07-400x-2-04.csv
77,5-22-400x-2-01.tif,354,cells_centroid5-22-400x-2-01.csv
78,3-15-700x-1-01.tif,265,cells_centroid3-15-700x-1-01.csv
79,7-15-400x-1-05.tif,172,cells_centroid7-15-400x-1-05.csv
80,4-02-700x-2-05.tif,141,cells_centroid4-02-700x-2-05.csv
81,4-17-400x-1-04.tif,134,cells_centroid4-17-400x-1-04.csv
82,4-17-400x-1-05.tif,135,cells_centroid4-17-400x-1-05.csv
83,4-02-700x-2-04.tif,150,cells_centroid4-02-700x-2-04.csv
84,7-15-400x-1-04.tif,183,cells_centroid7-15-400x-1-04.csv
85,4-01-700x-2-01.tif,125,cells_centroid4-01-700x-2-01.csv
86,7-23-400x-2-01.tif,38,cells_centroid7-23-400x-2-01.csv
87,7-23-400x-2-03.tif,39,cells_centroid7-23-400x-2-03.csv
88,4-01-700x-2-03.tif,139,cells_centroid4-01-700x-2-03.csv
89,4-01-700x-2-02.tif,126,cells_centroid4-01-700x-2-02.csv
90,7-23-400x-2-02.tif,31,cells_centroid7-23-400x-2-02.csv
91,4-01-700x-2-06.tif,141,cells_centroid4-01-700x-2-06.csv
92,4-02-700x-2-03.tif,159,cells_centroid4-02-700x-2-03.csv
93,7-15-400x-1-03.tif,172,cells_centroid7-15-400x-1-03.csv
94,4-17-400x-1-02.tif,162,cells_centroid4-17-400x-1-02.csv
95,7-15-400x-1-02.tif,149,cells_centroid7-15-400x-1-02.csv
96,4-02-700x-2-02.tif,145,cells_centroid4-02-700x-2-02.csv
97,7-23-400x-2-05.tif,41,cells_centroid7-23-400x-2-05.csv
98,4-01-700x-2-05.tif,130,cells_centroid4-01-700x-2-05.csv
99,7-15-400x-1-01.tif,169,cells_centroid7-15-400x-1-01.csv
100,4-02-700x-2-01.tif,153,cells_centroid4-02-700x-2-01.csv
101,4-01-700x-2-04.tif,134,cells_centroid4-01-700x-2-04.csv
102,7-23-400x-2-04.tif,35,cells_centroid7-23-400x-2-04.csv
